Tag Code,SRR Name,Mark Site Code Value,Release Site Name,Release Date MMDDYYYY,Obs Date MMDDYYYY,First Obs Date,Last Obs Date,Number of Records
384.3B23A29947,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,5/22/2015,5/22/2015,5/22/2015,12
384.3B23A29A60,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/9/2015,5/9/2015,5/9/2015,17
384.3B23A29BDB,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/11/2015,6/11/2015,6/11/2015,18
384.3B23A29C95,Wild Summer Steelhead,TUCR,TUCR - Tucannon River,5/11/2013,9/22/2015,9/22/2015,9/22/2015,12
384.3B23A29D87,Wild Summer Steelhead,TUCR,TUCR - Tucannon River,5/4/2013,10/12/2015,10/12/2015,10/12/2015,12
384.3B23A2A076,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,5/25/2015,5/25/2015,5/25/2015,15
384.3B23A2A096,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,5/29/2015,5/29/2015,5/29/2015,20
384.3B23A2A0F5,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/6/2015,6/6/2015,6/6/2015,21
384.3B23A2A154,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,5/24/2015,5/24/2015,5/24/2015,15
384.3B23A2A427,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,7/23/2015,7/23/2015,7/23/2015,28
384.3B23A2A5D5,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/20/2015,6/20/2015,6/20/2015,17
384.3B23A2A60A,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,5/10/2015,5/10/2015,5/10/2015,17
384.3B23A2A7FE,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/5/2015,5/5/2015,5/5/2015,18
384.3B23A2A87B,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/8/2015,6/8/2015,6/8/2015,15
384.3B23A2A898,Wild Summer Steelhead,BIGBEC,"BIGBEC - Big Bear Creek, Potlatch River",4/30/2013,10/14/2015,10/14/2015,10/15/2015,12
384.3B23A2A898,Wild Summer Steelhead,BIGBEC,"BIGBEC - Big Bear Creek, Potlatch River",4/30/2013,10/15/2015,10/14/2015,10/15/2015,12
