Tag Code,SRR Name,Mark Site Code Value,Release Site Name,Release Date MMDDYYYY,Obs Date MMDDYYYY,First Obs Date,Last Obs Date,Number of Records
384.1B7976634B,Wild Summer Chinook,SECESR,SECESR - Secesh River,8/23/2012,6/29/2015,6/29/2015,6/29/2015,10
384.36F2B32373,Wild Summer Steelhead,LAPC,LAPC - Lapwai Creek,9/18/2012,9/2/2015,9/2/2015,9/2/2015,21
384.36F2B32565,Wild Summer Steelhead,SWEETC,"SWEETC - Sweetwater Creek, Lapwai Creek watershed",9/12/2012,10/23/2015,10/23/2015,10/24/2015,19
384.36F2B32565,Wild Summer Steelhead,SWEETC,"SWEETC - Sweetwater Creek, Lapwai Creek watershed",9/12/2012,10/24/2015,10/23/2015,10/24/2015,19
384.36F2B442DB,Wild Summer Steelhead,WEBBC,"WEBBC - Webb Creek, Lapwai Creek watershed",9/19/2012,4/19/2015,4/19/2015,4/19/2015,15
384.3B23946E18,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/19/2015,9/19/2015,9/19/2015,11
384.3B2394720C,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/19/2013,8/22/2015,8/22/2015,8/22/2015,29
384.3B239472E3,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,10/3/2015,10/3/2015,10/3/2015,10
384.3B239472FE,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/11/2015,9/11/2015,9/11/2015,12
384.3B2394735F,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/19/2015,9/19/2015,9/19/2015,12
384.3B239473C6,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,10/4/2015,10/4/2015,10/4/2015,11
384.3B23947468,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/19/2013,10/8/2015,10/8/2015,10/8/2015,14
384.3B239479E3,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,9/19/2015,9/19/2015,9/19/2015,13
384.3B23947CB8,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/18/2015,9/18/2015,9/18/2015,11
384.3B23948829,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,3/30/2015,3/30/2015,3/30/2015,14
384.3B2394899C,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,6/4/2015,6/4/2015,6/4/2015,18
384.3B23948AED,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,6/25/2015,6/25/2015,6/25/2015,12
384.3B2394935F,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,10/5/2015,10/5/2015,10/5/2015,7
384.3B239495AF,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,9/24/2015,9/24/2015,9/24/2015,14
384.3B23949832,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/19/2013,9/3/2015,9/3/2015,9/3/2015,9
384.3B23949EB0,Hat. Summer Chinook,YAKIM1,NATCHR - Natches River,5/13/2013,9/16/2015,9/16/2015,9/17/2015,15
384.3B23949EB0,Hat. Summer Chinook,YAKIM1,NATCHR - Natches River,5/13/2013,9/17/2015,9/16/2015,9/17/2015,15
384.3B2394A11D,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,4/2/2015,4/2/2015,4/2/2015,11
384.3B2394A29F,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,12/9/2015,12/9/2015,12/9/2015,8
384.3B2394A2A7,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/12/2015,9/12/2015,9/12/2015,18
384.3B2394A2C3,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/25/2015,9/25/2015,9/25/2015,13
384.3B2394A2E9,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,3/19/2015,3/19/2015,3/20/2015,22
384.3B2394A2E9,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,3/20/2015,3/19/2015,3/20/2015,22
384.3B2394A34E,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,10/6/2015,10/6/2015,10/6/2015,68
384.3B2394A49E,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/15/2015,9/15/2015,9/15/2015,11
384.3B2394A517,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,10/3/2015,10/3/2015,10/3/2015,11
384.3B2394A53F,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/20/2015,9/20/2015,9/20/2015,10
384.3B2394AFA1,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/23/2015,9/23/2015,9/23/2015,39
384.3B2394B17C,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/27/2015,9/27/2015,9/27/2015,97
384.3B2394BC84,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/24/2015,9/24/2015,9/24/2015,13
384.3B2394BD56,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,3/24/2015,3/24/2015,3/24/2015,24
384.3B2394BF9F,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/7/2015,9/7/2015,9/8/2015,12
384.3B2394BF9F,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/8/2015,9/7/2015,9/8/2015,12
384.3B2394CB8C,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,10/1/2015,10/1/2015,10/1/2015,13
384.3B2394CE2E,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,9/25/2015,9/25/2015,9/25/2015,11
384.3B2394CF2D,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/18/2015,9/18/2015,9/18/2015,11
384.3B2394D99D,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/23/2015,9/23/2015,9/23/2015,12
384.3B2394DC46,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,6/24/2015,6/24/2015,6/24/2015,8
384.3B2394DD6A,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/19/2013,9/7/2015,9/7/2015,9/7/2015,12
384.3B2394E5FE,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,11/19/2015,11/19/2015,11/19/2015,11
384.3B2394E65F,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,10/1/2015,10/1/2015,10/1/2015,14
384.3B2394E67A,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/15/2015,9/15/2015,9/15/2015,11
384.3B2394E9C4,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,9/5/2015,9/5/2015,9/6/2015,12
384.3B2394E9C4,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,9/6/2015,9/5/2015,9/6/2015,12
384.3B2394EA0D,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/9/2015,9/9/2015,9/9/2015,12
384.3B2394F315,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,10/12/2015,10/12/2015,10/12/2015,14
384.3B2394F329,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/23/2015,9/23/2015,9/23/2015,12
384.3B2394F333,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,10/26/2015,10/26/2015,10/26/2015,15
384.3B2394F52D,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/20/2015,9/20/2015,9/20/2015,12
384.3B2394F5A7,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,3/18/2015,3/18/2015,3/18/2015,11
384.3B2394FB9D,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,3/26/2015,3/26/2015,3/26/2015,13
384.3B2394FE4A,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/21/2015,9/21/2015,9/21/2015,12
384.3B2395114F,Hat. Summer Steelhead,MAVA,"SQAW2C - Squaw Creek, Salmon River",4/22/2013,12/7/2015,12/7/2015,12/7/2015,6
384.3B239513DD,Hat. Fall Chinook,LYFE,LYFE - Lyons Ferry Hatchery,4/8/2014,10/18/2015,10/18/2015,10/18/2015,13
384.3B23951933,Hat. Summer Steelhead,MAVA,"SQAW2C - Squaw Creek, Salmon River",4/23/2013,11/5/2015,11/5/2015,11/6/2015,10
384.3B23951933,Hat. Summer Steelhead,MAVA,"SQAW2C - Squaw Creek, Salmon River",4/23/2013,11/6/2015,11/5/2015,11/6/2015,10
384.3B23955AB2,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,10/15/2015,10/15/2015,10/16/2015,14
384.3B23955AB2,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,10/16/2015,10/15/2015,10/16/2015,14
384.3B239568B5,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,10/20/2015,10/20/2015,10/20/2015,13
384.3B23956CFE,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,7/11/2015,7/11/2015,7/11/2015,9
384.3B239597C0,Hat. Fall Chinook,LYFE,LYFE - Lyons Ferry Hatchery,4/8/2014,9/11/2015,9/11/2015,10/6/2015,31
384.3B239597C0,Hat. Fall Chinook,LYFE,LYFE - Lyons Ferry Hatchery,4/8/2014,9/12/2015,9/11/2015,10/6/2015,31
384.3B239597C0,Hat. Fall Chinook,LYFE,LYFE - Lyons Ferry Hatchery,4/8/2014,10/6/2015,9/11/2015,10/6/2015,31
384.3B2395AE63,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,6/5/2015,6/5/2015,6/5/2015,16
384.3B2395B04A,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,11/5/2015,11/5/2015,11/6/2015,12
384.3B2395B04A,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,11/6/2015,11/5/2015,11/6/2015,12
384.3B2395B156,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/22/2013,10/25/2015,10/25/2015,10/25/2015,47
384.3B2395B1B4,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/22/2013,3/21/2015,3/21/2015,3/21/2015,12
384.3B2395B55C,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/18/2013,10/22/2015,10/22/2015,10/22/2015,11
384.3B2395B922,Hat. Summer Steelhead,NISP,LSALR - Little Salmon River,4/10/2013,9/19/2015,9/19/2015,9/19/2015,13
384.3B2395BB7F,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/18/2013,10/13/2015,10/13/2015,10/13/2015,11
384.3B2395BDB3,Hat. Summer Steelhead,MAVA,YANKFK - Yankee Fork Salmon River,4/29/2013,11/1/2015,11/1/2015,11/1/2015,10
384.3B2395BDCF,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,9/2/2015,9/2/2015,9/11/2015,72
384.3B2395BDCF,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,9/3/2015,9/2/2015,9/11/2015,72
384.3B2395BDCF,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,9/5/2015,9/2/2015,9/11/2015,72
384.3B2395BDCF,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,9/11/2015,9/2/2015,9/11/2015,72
384.3B2395CB20,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,10/9/2015,10/9/2015,10/9/2015,12
384.3B2395CB67,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,10/12/2015,10/12/2015,10/12/2015,12
384.3B2395CEB2,Hat. Summer Steelhead,MAVA,"SQAW2C - Squaw Creek, Salmon River",4/22/2013,11/24/2015,11/24/2015,11/24/2015,8
384.3B2395CECF,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/19/2015,5/19/2015,5/19/2015,14
384.3B2395CFBE,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/18/2013,10/28/2015,10/28/2015,10/29/2015,11
384.3B2395CFBE,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/18/2013,10/29/2015,10/28/2015,10/29/2015,11
384.3B2395D012,Hat. Summer Steelhead,NISP,LSALR - Little Salmon River,4/10/2013,12/6/2015,12/6/2015,12/6/2015,10
384.3B2395D0A4,Hat. Spring Chinook,CLWH,SELWY1 - Selway River - mouth to Moose Creek (km 0-65),3/18/2013,5/19/2015,5/19/2015,5/19/2015,17
384.3B2395D396,Hat. Summer Steelhead,DWOR,"DWORMS - Dworshak NFH, release into mainstem Clearwater River",4/17/2013,10/2/2015,10/2/2015,10/3/2015,12
384.3B2395D396,Hat. Summer Steelhead,DWOR,"DWORMS - Dworshak NFH, release into mainstem Clearwater River",4/17/2013,10/3/2015,10/2/2015,10/3/2015,12
384.3B2395DC11,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/10/2015,5/10/2015,5/10/2015,19
384.3B2395DE07,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,4/3/2013,10/11/2015,10/11/2015,10/11/2015,13
384.3B2395E0BD,Hat. Summer Steelhead,DWOR,"DWORMS - Dworshak NFH, release into mainstem Clearwater River",4/23/2014,10/2/2015,10/2/2015,10/2/2015,11
384.3B2395E19F,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,9/22/2015,9/22/2015,9/22/2015,13
384.3B2395E97F,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,4/2/2013,9/21/2015,9/21/2015,9/21/2015,12
384.3B2395E984,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,4/3/2013,10/16/2015,10/16/2015,10/16/2015,11
384.3B2395E9EB,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,4/3/2013,10/26/2015,10/26/2015,10/26/2015,11
384.3B2395EFD5,Wild Summer Steelhead,BIGBEC,"BIGBEC - Big Bear Creek, Potlatch River",4/23/2014,10/3/2015,10/3/2015,10/3/2015,12
384.3B2395F8AE,Hat. Summer Steelhead,NISP,LSALR - Little Salmon River,4/8/2013,4/4/2015,4/4/2015,4/4/2015,35
384.3B2395F9E1,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/22/2013,11/14/2015,11/14/2015,11/14/2015,10
384.3B2395FA4C,Hat. Fall Chinook,LYFE,LYFE - Lyons Ferry Hatchery,4/8/2014,9/24/2015,9/24/2015,10/30/2015,24
384.3B2395FA4C,Hat. Fall Chinook,LYFE,LYFE - Lyons Ferry Hatchery,4/8/2014,10/30/2015,9/24/2015,10/30/2015,24
384.3B2395FB88,Hat. Summer Steelhead,MAVA,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),4/8/2013,9/22/2015,9/22/2015,9/22/2015,11
384.3B2395FB9E,Hat. Summer Steelhead,MAVA,YANKFK - Yankee Fork Salmon River,4/26/2013,10/28/2015,10/28/2015,10/28/2015,12
384.3B239603BF,Hat. Summer Steelhead,MAVA,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),4/10/2013,10/15/2015,10/15/2015,10/15/2015,15
384.3B23960549,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/10/2015,5/10/2015,5/10/2015,13
384.3B23960562,Hat. Summer Steelhead,DWOR,"DWORMS - Dworshak NFH, release into mainstem Clearwater River",4/17/2013,10/13/2015,10/13/2015,10/13/2015,11
384.3B239605F2,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,9/20/2015,9/20/2015,9/20/2015,12
384.3B239607B0,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/18/2013,10/2/2015,10/2/2015,10/2/2015,10
384.3B23961112,Hat. Summer Steelhead,MAVA,"SQAW2C - Squaw Creek, Salmon River",4/22/2013,10/6/2015,10/6/2015,10/6/2015,8
384.3B2396113A,Hat. Summer Steelhead,MAVA,YANKFK - Yankee Fork Salmon River,4/29/2013,9/19/2015,9/19/2015,9/19/2015,11
384.3B23961161,Hat. Summer Steelhead,DWOR,"DWORMS - Dworshak NFH, release into mainstem Clearwater River",4/17/2013,10/19/2015,10/19/2015,10/19/2015,9
384.3B239612A6,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,4/3/2013,10/22/2015,10/22/2015,10/22/2015,10
384.3B23962039,Hat. Summer Steelhead,DWOR,"DWORMS - Dworshak NFH, release into mainstem Clearwater River",4/17/2013,9/20/2015,9/20/2015,9/21/2015,12
384.3B23962039,Hat. Summer Steelhead,DWOR,"DWORMS - Dworshak NFH, release into mainstem Clearwater River",4/17/2013,9/21/2015,9/20/2015,9/21/2015,12
384.3B2396230B,Hat. Summer Steelhead,MAVA,YANKFK - Yankee Fork Salmon River,4/29/2013,11/21/2015,11/21/2015,11/21/2015,14
384.3B23962379,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,7/25/2015,7/25/2015,7/30/2015,535
384.3B23962379,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,7/26/2015,7/25/2015,7/30/2015,535
384.3B23962379,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,7/30/2015,7/25/2015,7/30/2015,535
384.3B23962B71,Hat. Summer Steelhead,DWOR,"DWORMS - Dworshak NFH, release into mainstem Clearwater River",4/17/2013,10/7/2015,10/7/2015,10/7/2015,11
384.3B23962DDB,Hat. Summer Steelhead,NISP,LSALR - Little Salmon River,4/10/2013,3/7/2015,3/7/2015,3/7/2015,9
384.3B23962E46,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,4/3/2013,9/14/2015,9/14/2015,9/14/2015,10
384.3B23962EC9,Hat. Summer Steelhead,MAVA,YANKFK - Yankee Fork Salmon River,4/26/2013,11/6/2015,11/6/2015,11/6/2015,10
384.3B23962ECF,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,4/28/2015,4/28/2015,4/28/2015,10
384.3B23963048,Hat. Summer Steelhead,NISP,LSALR - Little Salmon River,4/8/2013,10/7/2015,10/7/2015,10/7/2015,11
384.3B239632A0,Hat. Summer Steelhead,MAVA,"SQAW2C - Squaw Creek, Salmon River",4/22/2013,10/18/2015,10/18/2015,10/18/2015,9
384.3B239637FC,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,4/2/2013,9/16/2015,9/16/2015,9/16/2015,12
384.3B2396391D,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,4/30/2015,4/30/2015,4/30/2015,15
384.3B2396395A,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,9/26/2015,9/26/2015,9/26/2015,13
384.3B23963967,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,4/3/2013,10/8/2015,10/8/2015,10/8/2015,12
384.3B23964096,Hat. Summer Steelhead,NISP,LSALR - Little Salmon River,4/10/2013,10/16/2015,10/16/2015,10/16/2015,17
384.3B2396417C,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,4/2/2013,9/24/2015,9/24/2015,9/24/2015,15
384.3B239642EE,Hat. Summer Steelhead,MAVA,YANKFK - Yankee Fork Salmon River,4/29/2013,10/26/2015,10/26/2015,10/26/2015,10
384.3B23964D36,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/16/2015,5/16/2015,5/16/2015,24
384.3B23964D40,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/2/2015,5/2/2015,5/2/2015,13
384.3B23964E58,Hat. Summer Steelhead,NISP,LSALR - Little Salmon River,4/8/2013,9/26/2015,9/26/2015,9/26/2015,10
384.3B23964FC4,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/6/2015,5/6/2015,5/6/2015,14
384.3B239650F3,Hat. Summer Steelhead,NISP,LSALR - Little Salmon River,4/10/2013,9/25/2015,9/25/2015,9/25/2015,11
384.3B239651B3,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,4/3/2013,10/6/2015,10/6/2015,10/6/2015,14
384.3B23965304,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,10/6/2015,10/6/2015,10/7/2015,10
384.3B23965304,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,10/7/2015,10/6/2015,10/7/2015,10
384.3B2396538E,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/9/2015,5/9/2015,5/10/2015,16
384.3B2396538E,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/10/2015,5/9/2015,5/10/2015,16
384.3B23965476,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,4/2/2013,10/25/2015,10/25/2015,10/25/2015,11
384.3B23965510,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,10/19/2015,10/19/2015,10/20/2015,9
384.3B23965510,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,10/20/2015,10/19/2015,10/20/2015,9
384.3B2396597D,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,4/3/2013,10/3/2015,10/3/2015,10/3/2015,11
384.3B239659D3,Hat. Summer Steelhead,NISP,LSALR - Little Salmon River,4/8/2013,10/16/2015,10/16/2015,10/16/2015,11
384.3B23965A06,Hat. Summer Steelhead,NISP,LSALR - Little Salmon River,4/8/2013,10/3/2015,10/3/2015,10/3/2015,14
384.3B23965CBE,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/11/2015,5/11/2015,5/11/2015,21
384.3B23965CE5,Hat. Summer Steelhead,NISP,LSALR - Little Salmon River,4/10/2013,10/26/2015,10/26/2015,10/26/2015,9
384.3B23965D66,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,10/5/2015,10/5/2015,10/6/2015,10
384.3B23965D66,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,10/6/2015,10/5/2015,10/6/2015,10
384.3B23965DE5,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/4/2015,5/4/2015,5/5/2015,14
384.3B23965DE5,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/5/2015,5/4/2015,5/5/2015,14
384.3B23965FD1,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,9/15/2015,9/15/2015,9/15/2015,13
384.3B239660BF,Hat. Summer Steelhead,MAVA,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),4/10/2013,9/7/2015,9/7/2015,9/7/2015,32
384.3B23966137,Hat. Spring Chinook,CLWH,SELWY1 - Selway River - mouth to Moose Creek (km 0-65),3/18/2013,5/9/2015,5/9/2015,5/9/2015,18
384.3B2396637D,Hat. Summer Steelhead,MAVA,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),4/10/2013,4/1/2015,4/1/2015,4/1/2015,10
384.3B239663DD,Hat. Spring Chinook,CLWH,SELWY1 - Selway River - mouth to Moose Creek (km 0-65),3/18/2013,5/13/2015,5/13/2015,5/13/2015,15
384.3B239664D5,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/8/2015,5/8/2015,5/8/2015,17
384.3B23966750,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/19/2013,9/27/2015,9/27/2015,9/27/2015,38
384.3B2396678F,Hat. Summer Steelhead,MAVA,PAHTRP - Pahsimeroi River Trap,4/18/2013,10/26/2015,10/26/2015,10/26/2015,22
384.3B23966B01,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,4/3/2013,11/14/2015,11/14/2015,11/14/2015,11
384.3B23966BC1,Hat. Summer Steelhead,MAVA,YANKFK - Yankee Fork Salmon River,4/26/2013,10/30/2015,10/30/2015,10/30/2015,11
384.3B23966C92,Hat. Summer Steelhead,NISP,LSALR - Little Salmon River,4/10/2013,11/16/2015,11/16/2015,11/16/2015,12
384.3B23966D48,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,4/29/2015,4/29/2015,4/29/2015,13
384.3B23966DAD,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/8/2015,5/8/2015,5/8/2015,18
384.3B23966EBB,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/28/2015,5/28/2015,5/28/2015,15
384.3B2396726D,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,9/17/2015,9/17/2015,9/17/2015,11
384.3B23967294,Hat. Spring Chinook,CLWH,SELWY1 - Selway River - mouth to Moose Creek (km 0-65),3/18/2013,5/7/2015,5/7/2015,5/7/2015,11
384.3B2396729A,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/15/2015,5/15/2015,5/15/2015,15
384.3B239672E2,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/11/2015,5/11/2015,5/11/2015,18
384.3B239673B9,Hat. Spring Chinook,CLWH,CLEARC - Clear Creek,3/19/2013,5/18/2015,5/18/2015,5/18/2015,18
